"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"Cboot1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"220n";;;
2;"Cdecou1";"CP_Radial_D6.3mm_P2.50mm";1;"100µF";;;
3;"Cdecou2,Cdecou3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100nF";;;
4;"Cen1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"5.6n";;;
5;"Coff1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1n";;;
6;"Cp1,Cpul1,Cref1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"10n";;;
7;"Dalim1,Denable1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED";;;
8;"JmotBobines1";"JST_NV_B03P-NV_1x03_P5.00mm_Vertical";1;"Conn_01x03_Female";;;
9;"JmotHall1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Female";;;
10;"Jstm32";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
11;"R1,R2,Ren1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"100k";;;
12;"Rled1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2,2k";;;
13;"Rled2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"330";;;
14;"Rp1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100";;;
15;"Rpul1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"47k";;;
16;"Rref1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1.2k";;;
17;"Rref2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"220";;;
18;"Rreg1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"270";;;
19;"Rreg2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"820";;;
20;"Rsense1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"0.3";;;
21;"U5";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"L6235D";;;
22;"Rcoff1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"33k";;;
23;"H1,H2,H3,H4";"MountingHole_3.2mm_M3_Pad";4;"MountingHole_Pad";;;
24;"Ureg1";"SOT-223-3_TabPin2";1;"LM317_3PinPackage";;;
25;"MBR1045";"TO-220F-2_Vertical";1;"D_Schottky";;;
26;"Alim12";"JST_NV_B02P-NV_1x02_P5.00mm_Vertical";1;"B_Plug_5mm";;;
27;"D1,D2";"D_DO-35_SOD27_P10.16mm_Horizontal";2;"1N4148";;;
28;"Rtacho1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
