Id,Référence,Boîtier,Quantité,Désignation,Fournisseur et réf
1,Cboot1,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,220n,
2,Cdecou1,CP_Radial_D6.3mm_P2.50mm,1,100µF,
3,"Cdecou2,Cdecou3",C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,100nF,
4,Cen1,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,5.6n,
5,Coff1,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,1n,
6,"Cp1,Cpul1,Cref1",C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,3,10n,
7,"D1,D2",D_DO-35_SOD27_P10.16mm_Horizontal,2,1N4148,
8,"Dalim1,Denable1",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,LED,
9,JmotBobines1,JST_NV_B03P-NV_1x03_P5.00mm_Vertical,1,Conn_01x03_Female,
10,JmotHall1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Female,
11,Jstm32,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,
12,"R1,R2,Ren1",R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,3,100k,
13,Rled1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,"2,2k",
14,Rled2,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,330,
15,Rp1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,100,
16,Rpul1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,47k,
17,Rref1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,1.2k,
18,Rref2,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,220,
19,Rreg1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,270,
20,Rreg2,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,820,
21,Rsense1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,0.3,
22,Rtacho1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,1k,
23,U1,Bplug-5mm,1,B_Plug_5mm,
24,U5,SOIC-24W_7.5x15.4mm_P1.27mm,1,L6235D,
25,Rcoff1,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,33k,
26,"H1,H2,H3,H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
27,Ureg1,SOT-223-3_TabPin2,1,LM317_3PinPackage,
